,date,count,platform
972,2021-03-12,2,5
973,2021-03-13,1,5
974,2021-03-14,9,5
975,2021-03-15,5,5
976,2021-03-18,111,5
977,2021-03-19,1,5
978,2021-03-23,3,5
979,2021-03-24,2,5
980,2021-03-25,2,5
981,2021-03-26,2,5
982,2021-03-27,2,5
983,2021-03-28,3,5
984,2021-03-29,28,5
985,2021-03-30,1,5
986,2021-04-01,110,5
987,2021-04-05,2,5
988,2021-04-06,3,5
989,2021-04-07,2,5
990,2021-04-08,1,5
991,2021-04-10,2,5
992,2021-04-11,5,5
993,2021-04-12,5,5
994,2021-04-13,1,5
995,2021-04-14,1,5
996,2021-04-15,110,5
997,2021-04-17,1,5
998,2021-04-19,2,5
999,2021-04-20,2,5
1000,2021-04-21,2,5
1001,2021-04-22,2,5
1002,2021-04-24,4,5
1003,2021-04-25,5,5
1004,2021-04-26,5,5
1005,2021-04-27,1,5
1006,2021-04-28,1,5
1007,2021-05-08,1,5
1008,2021-05-10,115,5
1009,2021-05-13,3,5
1010,2021-05-14,3,5
1011,2021-05-15,1,5
1012,2021-05-16,2,5
1013,2021-05-17,4,5
1014,2021-05-18,6,5
1015,2021-05-19,3,5
1016,2021-05-20,4,5
1017,2021-05-21,22,5
1018,2021-05-22,71,5
1019,2021-05-27,4,5
1020,2021-05-28,3,5
1021,2021-05-30,6,5
1022,2021-05-31,9,5
1023,2021-06-03,82,5
1024,2021-06-07,2,5
1025,2021-06-08,2,5
1026,2021-06-09,2,5
1027,2021-06-10,2,5
1028,2021-06-14,4,5
1029,2021-06-16,1,5
1030,2021-06-17,96,5
1031,2021-06-18,2,5
1032,2021-06-19,7,5
1033,2021-06-21,2,5
1034,2021-06-22,2,5
1035,2021-06-24,15,5
1036,2021-06-25,11,5
1037,2021-06-26,7,5
1038,2021-06-27,6,5
1039,2021-06-28,7,5
1040,2021-06-30,1,5
1041,2021-07-01,78,5
1042,2021-07-05,2,5
1043,2021-07-06,3,5
1044,2021-07-07,2,5
1045,2021-07-08,2,5
1046,2021-07-12,2,5
1047,2021-07-15,79,5
1048,2021-07-19,3,5
1049,2021-07-20,1,5
1050,2021-07-21,2,5
1051,2021-07-22,1,5
1052,2021-07-23,2,5
1053,2021-07-24,3,5
1054,2021-07-25,3,5
1055,2021-07-26,7,5
1056,2021-07-29,70,5
1057,2021-08-01,1,5
1058,2021-08-03,2,5
1059,2021-08-04,3,5
1060,2021-08-06,2,5
1061,2021-08-07,4,5
1062,2021-08-08,3,5
1063,2021-08-09,5,5
1064,2021-08-12,71,5
1065,2021-08-16,2,5
1066,2021-08-17,2,5
1067,2021-08-18,2,5
1068,2021-08-19,2,5
1069,2021-08-21,1,5
1070,2021-08-22,3,5
1071,2021-08-23,4,5
1073,2021-04-22,2,6
1074,2021-04-23,2,6
1075,2021-04-27,1,6
1076,2021-04-29,2,6
1077,2021-04-30,51,6
1078,2021-05-01,1,6
1079,2021-05-25,9,6
1080,2021-05-26,4,6
1081,2021-05-27,4,6
1082,2021-05-28,5,6
1083,2021-05-31,53,6
1084,2021-06-03,1,6
1085,2021-06-04,1,6
1086,2021-06-07,1,6
1087,2021-06-08,1,6
1088,2021-06-18,38,6
1089,2020-05-25,5,7
1090,2020-05-26,6,7
1091,2020-05-27,7,7
1092,2020-05-28,4,7
1093,2020-05-29,6,7
1094,2020-05-30,2,7
1095,2020-05-31,1,7
1096,2020-06-01,5,7
1097,2020-06-02,6,7
1098,2020-06-03,7,7
1099,2020-06-04,4,7
